problem,difficulty,category,entry_file,version,tags,description
cfgpipe,easy,configuration-management,cfgpipe,2,cli-tools|config-management|argument-parsing|schema-validation|http-integration|watch-mode|type-system|deterministic-output,"CLI configuration resolver that reads a JSON schema, resolves typed parameters from prioritized sources (default, env, file, primary/secondary stores, args), supports nested groups, watch mode with structured change events, advanced types (duration, pattern, map, list, redacted), and store prefix composition."
circuit_eval,medium,simulation,circopt,1,cli-tools|parsing|digital-circuits|boolean-logic|optimization|graphviz|equivalence-checking|truth-tables,"CLI tool for digital circuit evaluation and optimization. Parses scalar and vector circuits in .circ, .json, and .bench formats. Evaluates circuits with 2-valued and 3-valued logic, generates truth tables, checks equivalence between circuits, and optimizes circuits with configurable passes (constant folding, CSE, DCE, etc.)."
code_search,easy,developer-tools,code_search,1,cli-tools|ast-parsing|multi-language|pattern-matching|metavariables|code-transformation|refactoring|static-analysis|regex|code-search,"Multi-language code search tool (inspired by ast-grep) that finds patterns and applies refactorings. Starts with regex search in Python, adds AST-based pattern matching with metavariables, then auto-fix with conflict resolution. Supports Python, JS, C++, Rust, Java, Go, and Haskell."
dag_execution,hard,dsl,launch,1,workflow-orchestration|dag|cli-tools|parser|toml|dependency-resolution|caching|task-scheduling,"Workflow orchestration system with a custom DSL for defining DAGs of tasks with dependencies and parameters. Includes a parser, execution engine, and JSONL logging. Adds caching with content-hashing and time-based strategies, then dynamic cache overrides per-task."
database_migration,medium,databases,migration_tool,1,cli-tools|database|sqlite|schema-migration|data-transformation|transaction-management|foreign-keys|constraints|rollback|dependency-resolution|graph-algorithms,"SQLite migration CLI. Starts with basic DDL (create table, add/drop columns), adds data transformations and backfills, then foreign keys/indexes/check constraints with rollback support, and finally dependency management with topological sorting and cycle detection."
datagate,easy,web,datagate,2,rest-api|csv|spreadsheet|ingestion|query-engine|filtering|export|caching|configuration|access-control,"HTTP service for ingesting tabular files from URLs/uploads into queryable datasets with pagination, sorting, filtering, export, caching, config-based runtime controls, access control, and optional enrichment metadata."
dynamic_buffer,hard,data-processing,dynamic_buffer,1,code-generation|metaprogramming|streaming-algorithms|multi-language|transform-inference|stateful-processing|window-functions|compiler-design,"Code generator that infers data transformations from input/output examples and emits working code in Python, JS, C++, or Rust. Handles filtering, column ops, stateful transforms (prefix sums, sliding windows), and window functions. Generated code streams data with fixed buffers."
dynamic_config_service_api,medium,web,config_server,1,rest-api|versioning|config-management|json-schema|yaml|approval-workflow|policy-enforcement|deep-merge|dependency-resolution,"REST API for versioned configs with inheritance and deep-merge. Adds JSON Schema validation and multi-format input (JSON/YAML/TOML), then approval workflows with drafts and quorum-based review, and finally OPA/Rego policy enforcement."
env_manager,easy,cli-tools,rig,2,cli-tools|config-management|planning|dry-run|dependency-graph|profile-composition|script-generation|yaml|json,"Declarative system provisioning planner CLI that validates module configs and generates deterministic execution plans across macOS and Linux. Includes package/app installs, file actions, preferences, dock configuration, language runtime environments, profile manifests, and standalone build script generation."
etl_pipeline,easy,data-processing,etl_pipeline,1,cli-tools|json|data-transformation|expression-evaluation|validation|etl|schema-validation|parser-design|modular-composition,"CLI that parses and executes ETL pipelines defined in JSON. Supports select, filter, map, rename, and limit operations with a custom expression language. Adds conditional branching, reusable sub-pipelines with parameters, and a library system for modular definitions."
eve_industry,hard,data-processing,industry,1,cli-tools|csv-parsing|game-data|manufacturing-planning|complex-formulas|bom-generation|optimization,"EVE Online manufacturing planner that parses the SDE to compute recipes, material costs, and build times. Adds invention probability calculations, ME/TE efficiency with waste tracking, full build planning with job scheduling, and recursive build-all with automatic job splitting."
